Domain,Sub domain,Intent,Answer Format,value,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,y_hat
About Business Component,Post Servicing,Submission_time_taken,It normally takes 5-10 days depends on the targeted company. Please noteed that the target company will send you an confirmation email once they offically received your submission. ,When is the submission coming into effect?,-5.5149775,-5.7167687,-5.09122,-5.230871,-4.197764,-3.5220094,-4.851232,-4.8810916,-4.078052,-5.767876,-5.0870805,-5.1910214,-4.450169,-4.454644,-4.947556,-5.4386415,-5.476427,-4.698323,-4.963337,-4.6221066,-4.388444,-5.5503917,-4.4493933,-4.9952803,-4.644537,-4.7061787,0.89424133,-5.1952853,-5.9997964,-5.0994315,-5.0593023,-4.895828,-5.2283134,-4.9253716,-5.855952,-5.128088,-4.9975924,-3.729227,-5.146973,-5.5921054,-5.1687446,-4.8448844,-5.890607,-6.07447,-5.7043705,-3.9609466,-5.526658,-5.540178,-3.8719509,-5.3640437,-5.134881,-5.3075576,-5.287753,-3.97501,-5.353143,-3.9825184,-5.24386,-4.144162,-4.6705766,-5.680694,-4.991812,-5.8479233,-4.7438083,-5.054696,-5.105843,-5.413867,-4.405492,-5.367601,-5.895174,-4.578173,-5.2342076,-5.282977,-5.1395564,-4.986993,26
About Business Component,Account,Account_information_saving,We suggest you to save personal information such as DOB/ nationility/ etc. These information are expected to keep duplicating.,Can everything I input on Fill-easy be stored in my account?,-5.4400353,-5.05498,-4.7542787,-5.031282,-3.1870291,-3.4747114,-6.150701,-5.807262,-4.453685,-5.1434245,-5.3659163,-4.2748494,-4.488916,-5.588543,-5.7578588,-4.945375,-4.7667956,-5.316022,-5.009265,-5.789941,-5.1674213,-4.074517,-4.9803305,-4.86772,-5.427641,-4.7081013,-4.4836726,-5.6703696,-5.363206,-5.0354095,-5.8840356,-5.184544,-5.1670685,-4.706895,-5.2779484,-5.3171744,-4.1766644,-5.4665003,-4.7682695,-5.9575276,-5.202336,-4.5498304,-5.7159085,-5.533874,-5.028059,-5.1748877,-4.905498,-5.43248,-4.058737,-5.8148127,-5.216929,-5.696624,-4.5757422,-4.653853,-5.8927317,-4.056345,-4.5991783,0.75417286,-4.140987,-5.5850854,-5.4621205,-5.4161644,-5.2129216,-4.916519,-4.6298256,-4.0210724,-4.043127,-5.0705504,-5.591132,-5.501237,-5.2235155,-5.4068055,-5.6599426,-4.5813127,57
About Business Component,Overall,Service_Updates,"We periodically use our AI technology, ""Form recognizer"" , to make comparsion between the newest form and the one we are using to ensure they are always up-to-date.",Are your shapes the most up to date?,-5.1515927,-4.745621,-4.679438,-4.422329,-5.6321335,-5.5838847,-4.812088,-6.069659,-4.872665,-4.8123627,-5.2607455,-5.202491,-6.115708,-6.15349,-5.083553,-5.06416,-5.3020573,-4.835366,-5.161835,-5.286736,-4.984217,-4.735453,-5.3982987,-4.545164,-5.116387,-5.8018813,-5.6615868,-5.133518,-4.1029034,-3.6351895,-5.172178,-5.225852,-4.895796,-5.9195423,-5.0422034,-4.218009,-5.25024,-5.0736465,-5.7336755,-4.3457975,-5.2463245,-4.407069,-4.4282374,-3.636534,-4.404132,-4.4332814,-4.1802254,-4.6574726,-5.6105666,-5.1036196,-5.724176,-5.1099353,-4.4147224,-4.631157,-4.8730836,-5.844809,-5.489551,-5.3609,-5.273816,-5.1381073,-5.6461735,-5.99911,-4.3851438,-4.944551,-5.6884923,-6.0978985,-4.4587336,1.080254,-4.0163364,-6.0121374,-4.668321,-5.6293287,-4.9717054,-4.7056346,67
About company,Future,Expansion,"We keep enlarging our service to new industry, new form purpose and new new geographical location. Our new mobile APP is also under development and serveal AI project are in planning to enhance our customer experience.",Tell you how you will extend your business.,-4.2685504,-4.4152536,-4.8574853,-4.4976373,-5.5513973,-5.1450973,-5.156232,-5.7583857,-5.070006,-4.439556,-5.31407,-4.1198754,-5.3088694,-5.3363457,-5.64871,-4.1621118,-4.4643564,-4.5592628,-4.2592115,-4.5229726,-4.8788786,-5.5000043,-4.9929256,-6.1513076,-4.603011,-4.793561,-4.9193606,-6.185014,-4.280646,-4.7090516,-4.5523148,-4.675523,-4.024399,-5.30585,-5.2044353,-3.3134747,-4.989833,-5.745935,-4.5088873,-4.251998,-4.525342,-4.573673,-5.604549,-4.2195415,-4.5466866,-5.710408,-4.5993776,-3.8108308,-5.5030794,-4.132056,-5.5298977,-4.6356153,0.8615429,-3.9275973,-5.2276053,-5.8160315,-4.401695,-4.692767,-4.8627057,-4.727694,-5.732188,-5.4592133,-5.5962043,-5.168492,-5.339148,-4.9479685,-4.8976088,-4.381122,-4.9514008,-5.2483144,-6.3385925,-4.9486246,-5.0040917,-4.659688,52
About Business Component,Filling ,Information_saving,You may register an account and store non-sensitive infomration with us. We will automatically fill in the duplicated information for you.,Should we have to run in the same field twice?,-4.969938,-6.239253,-5.4784822,-5.6864104,-5.166314,-5.4252315,-4.758719,-4.2781544,-3.8992746,-4.095884,-5.4117393,-5.0095057,-4.6274843,-5.4780984,-6.209821,-5.855037,-5.161098,-5.546759,-5.681313,-5.828206,-6.246856,-4.3874145,0.3606204,-5.272025,-4.977374,-5.312002,-5.022345,-1.5163081,-5.2995996,-5.604036,-5.0038834,-5.608854,-5.2368336,-5.8923683,-5.698092,-6.5627766,-5.1170754,-4.257385,-5.780951,-4.8396277,-6.652586,-5.2740993,-6.425388,-5.816389,-6.2485495,-4.880982,-6.3733296,-6.502113,-5.235391,-4.9975047,-4.382233,-4.704449,-5.6401615,-5.326195,-6.086568,-4.648897,-5.3283825,-4.9550457,-5.6201324,-5.075248,-4.501584,-4.521159,-5.2980547,-5.35283,-5.395692,-6.071945,-4.4447494,-5.501894,-5.419973,-4.7830114,-5.2358956,-6.2289653,-5.682238,-5.492004,22
About Business Component,Signing,Action_to_sign,Please review the input correctness of the downloaded form before signing the form.,What else must I do when I download my filled forms?,-4.072993,-4.754283,-4.5410867,-3.675001,-5.420001,-5.961733,-4.7353086,-5.0629992,-4.058833,-4.162282,-4.8783345,-5.329637,-5.363726,-5.3459735,-4.835838,-3.6275816,-5.4219575,-4.1385016,-5.1618395,-5.538886,-4.706449,-5.191311,-4.7640333,-3.8309543,-5.143942,-6.338997,-5.879941,-4.447795,0.7155031,-5.254444,-4.8865676,-5.6521893,-4.2733374,-5.3452053,-5.8632684,-3.6073978,-5.624262,-5.745829,-5.9947424,-3.868311,-5.3722496,-5.441821,-4.8291383,-4.579483,-3.9444222,-4.9237967,-5.003693,-4.339137,-5.960905,-5.1261764,-5.726933,-5.2970324,-4.8475876,-5.85426,-5.0068727,-5.538973,-5.1785893,-5.4925876,-6.1754766,-5.1665335,-5.034625,-5.1522546,-4.8321843,-4.9416885,-5.452301,-5.791833,-5.649683,-4.247323,-4.3778853,-4.774823,-4.2699885,-4.8301444,-4.611828,-6.032142,28
About Techology,iAM SMART Integration,iamsmart_summary,iAM Smart is a gov app for authentication. ,So what¡¦s the relationship between iamsmart and fill-easy?,-4.644847,-3.889366,-3.689042,-5.6004615,-4.9363327,-5.1250787,-5.85987,-5.638037,-5.8994093,-5.492043,-4.3128905,-5.7089496,-5.3755746,-4.6042485,0.98433805,-5.801807,-4.9278145,-4.8000813,-5.1578927,-4.6957555,-6.019496,-5.323869,-5.422331,-4.1872773,-5.530651,-4.589145,-5.395571,-5.142736,-4.94262,-5.3772593,-4.645718,-4.869795,-5.1913753,-4.5127525,-4.728914,-4.705211,-4.759792,-5.1153827,-4.6129365,-4.7305017,-4.6725926,-5.1043897,-4.084021,-4.971821,-5.025777,-4.3328695,-4.4602733,-4.4674463,-4.632944,-5.6183786,-5.167412,-6.218765,-5.784585,-5.4838037,-4.9499297,-4.5143747,-5.5302353,-5.8926754,-5.2252746,-4.718525,-5.2946787,-5.521983,-5.32548,-5.4219627,-5.514972,-5.959082,-6.189164,-4.8121524,-5.233145,-5.0325875,-4.8524923,-4.909818,-2.9750762,-5.681488,14
About Business Component,Selection,Form_unexpected_questioning,"it may be because of one of the reason below: 1. it only accept digital channel for submitting changing request; 2. it is not under our currently covered industry (financial service); 3. it is not under our currently covered location (Hong Kong). If you have a physical form, we encourage you to try out our ""Form Recogniser"", it is a AI driven solution help checking if your form is covered by our current service. ",I can't find the shapes of the company I want.,-4.7915773,-4.0721817,-4.344679,-5.4839253,-6.146309,-5.683347,-5.1345305,-6.1618257,-5.9406915,-5.3612995,-5.753566,-5.0783925,-5.9033713,-5.831862,-4.4071345,-5.3804674,-5.690854,-5.156638,-4.538259,-5.8078966,-5.983697,-5.6263275,-6.416409,-4.381681,-4.981504,-5.826512,-6.444765,-5.2946877,-4.730527,-4.521367,-5.894251,-4.833548,-4.4338202,-5.104555,-3.7436175,-5.360343,-5.7809606,-6.8865733,-4.692947,-4.894033,-3.5521176,-5.8156385,0.9261582,-3.825505,-4.3126326,-5.421235,-3.8416567,-3.838826,-5.7328715,-4.7165623,-5.1033807,-4.242311,-5.7468615,-6.113205,-5.2280655,-5.368963,-5.2271113,-5.7894554,-5.5033364,-5.0746665,-5.6245394,-4.786192,-5.371883,-4.239508,-4.0634193,-4.2108164,-5.604766,-4.3575506,-4.297749,-5.630738,-4.448465,-4.645555,-5.7019577,-4.3440676,42
About company,History,Business_start,idea com from HK techathon 2021 1st running up ->real start at 2022 Q1,How Long Did Your Company Live in Business?,-4.895339,-5.027715,-5.3790836,-5.0979505,-5.0763445,-5.4122066,-4.6647224,-5.248358,-5.154519,-4.8419156,-6.1097193,-5.3182464,-5.4401474,-5.042177,-5.269205,-5.4328284,-4.6047287,-5.320783,-5.4062824,-5.2440314,-5.7171106,-4.4069147,-4.8448234,-5.3421583,-5.261277,-4.620051,-4.653183,-4.5084043,-5.442656,-5.202992,-4.6666174,-5.7554617,-6.772228,-4.7934895,-3.9631057,-5.0794344,-4.8152647,-4.8221884,-5.0514364,-5.1495647,-4.9400063,1.2159013,-5.527776,-4.717479,-5.914877,-4.427258,-5.2110534,-5.8112884,-3.9819424,-5.5209827,-5.114592,-4.414271,-4.5773525,-4.414839,-5.2954535,-4.7391443,-4.5987277,-4.752083,-5.0523157,-4.620688,-4.9232078,-6.0861464,-4.543237,-4.764676,-3.589356,-5.5980625,-5.1343145,-4.6803436,-4.728397,-5.4233966,-5.609109,-5.566947,-4.4986653,-4.4791646,41
About Techology,Form recognizer,Form_recognizer_flow,"Click on ""Form recognizer"" button on mobile app -> take a photo as instructed -> return the 5 most likely form to you -> select the one -> process the remaining process.",I do not understand how to use the form recogniser.,-5.2150955,-5.565667,-6.002554,-5.4038334,-5.19294,-5.855533,-5.12809,-4.60337,-4.517789,-4.986189,-6.035398,-5.521998,-4.2937217,-4.7794933,-5.628861,-6.5502048,-6.2813325,-5.705536,-4.881072,-6.137863,-5.908461,-4.843633,-4.3842497,-6.155675,-4.8181787,-5.261358,-4.8761578,-4.3136535,-5.546123,-6.0970874,-5.247517,-5.7118993,-5.358951,-6.429112,-5.098736,-6.3043365,-5.7163815,-5.0151644,-5.1090097,-4.69626,-6.141029,-4.8499885,-6.2422523,-6.0276413,-5.227625,-4.6489453,-4.966289,-5.814188,-5.862834,-4.937989,-3.9318025,-4.1703005,-5.934038,-5.898102,-4.884511,-5.7535033,-5.3637447,-5.586398,-4.592601,-3.0030875,0.882566,-3.3538084,-4.6476483,-5.234767,-4.763323,-6.441513,-4.477824,-5.5033,-4.6159806,-4.074445,-4.090364,-5.854218,-5.53879,-5.009339,60
About the team,Our Team,Team,We are a team of 6 XXXXXXX. (More on people side),what's your team composition?,-4.6469164,-3.7038248,-3.9325786,-5.878878,-5.5081024,-4.8000097,-5.0726585,-5.628227,-5.985628,-4.8460073,-5.618253,-4.9608464,-5.56913,-4.658479,-4.5294766,-4.4006248,-4.9646134,-5.457136,-3.4959795,-4.704371,-5.4160423,-5.8545876,-6.494946,-5.5002403,-4.4563494,-5.3214397,-4.8409705,-6.191431,-5.387402,-3.624751,-5.7507505,-4.437917,-5.3164725,-4.625698,-3.8326645,-4.534248,-5.4759583,-6.548331,-4.781314,-4.989309,0.832663,-4.32624,-3.414073,-4.1124115,-4.5657015,-4.7236843,-4.2271504,-3.0975206,-4.775478,-4.8317924,-5.5024443,-4.089038,-4.3705177,-5.1928043,-4.2398624,-5.1179843,-4.520961,-4.8035984,-5.900341,-5.310366,-5.6167407,-6.0381594,-5.125203,-4.7167516,-4.171398,-4.287046,-5.467223,-5.028906,-4.888522,-4.927925,-5.0038013,-4.653469,-4.786967,-4.0697417,40
About Business Component,Account,Account_purpose,"You can register an account to save your personal information, those information will be auto filled when you use our service later on.",What do I have to do if I want to reuse my input next time I come?,-5.6840467,-5.729052,-4.208709,-5.5107913,-4.282579,-3.3994327,-5.256102,-4.8344603,-4.3521805,-5.417487,-4.7359185,-5.2193613,-4.9803057,-5.108405,-4.1656036,-4.8306956,-5.252174,-5.3660154,-5.5463176,-5.5901346,-5.363894,-4.401212,-4.4774094,-4.607795,-5.1552057,-5.290388,-4.121833,-4.9943633,-5.4635267,-5.743066,-5.8607655,-4.4534316,-5.06864,-3.7335968,-5.6600537,-6.031093,-4.419387,-4.251586,-5.585037,-5.7392173,-5.3195305,-4.678962,-5.1626525,-5.816332,-5.998587,-4.8373504,-5.8576922,-5.0094156,-4.1115894,-5.373091,-4.5519443,-5.6988807,-5.840717,-5.5037823,-5.9828353,1.0848275,-4.8166423,-3.940389,-4.710504,-6.0762477,-6.129671,-5.4959636,-4.475227,-5.7205343,-4.666852,-3.9667275,-5.0174212,-5.714282,-6.2555976,-4.401689,-4.825486,-5.9102306,-4.730266,-5.612397,55
About Techology,iAM SMART Integration,iamsmart_summary,iAM Smart is a gov app for authentication. ,¡§I don¡¦t understand what iamsmart integration is.,-4.676681,-3.898593,-3.7879407,-5.6155467,-4.940225,-5.1236434,-5.8275666,-5.6605783,-5.8938828,-5.498984,-4.362065,-5.695089,-5.374949,-4.63477,0.95688784,-5.8178935,-4.934377,-4.860861,-5.197445,-4.7022653,-6.0256653,-5.320846,-5.437245,-4.2014365,-5.5431495,-4.5884743,-5.403222,-5.1710324,-4.97787,-5.4025154,-4.6198363,-4.8916097,-5.2099423,-4.5772715,-4.7280784,-4.7378874,-4.7859235,-5.1255016,-4.6110206,-4.761018,-4.7171226,-5.0873137,-4.1266413,-4.977531,-5.0450554,-4.389233,-4.5401454,-4.4866066,-4.6642613,-5.6403375,-5.1553235,-6.2231507,-5.772766,-5.4748273,-4.972592,-4.5315065,-5.540858,-5.901292,-5.204138,-4.715855,-5.282686,-5.511966,-5.3383813,-5.4241347,-5.5175886,-5.974433,-6.1894207,-4.8383965,-5.2524476,-5.051181,-4.865467,-4.9860706,-2.9158437,-5.663934,14
About company,Current,Collaboration,"For our partners powered by Fill Easy and iAMSMART, we always have a prior agreement with them to send our information to them. Fill Easy and our partner have established a secure online channel to pass information between us two.",What is the method of cooperation among you and your partners?,-5.1516066,-5.024106,-3.9411502,-5.1510544,-3.7602947,-4.5564246,-5.949302,-5.046217,-5.73611,-6.2843847,-4.8094687,-4.9655447,-4.466785,-4.6567836,-4.388878,-4.377247,-4.4502964,-4.457877,-4.9116263,-3.6673837,-5.2645864,-4.451826,-5.6464734,-4.6607156,-4.1427846,-3.9000378,-4.6320767,-6.1080227,-5.6560173,-5.277377,-5.04178,-4.396417,-5.2169695,0.834684,-5.7181525,-4.904739,-4.320024,-5.477932,-4.314807,-6.5771704,-5.0163965,-5.0588427,-5.3519144,-5.8985057,-5.7820663,-5.7532253,-5.1509676,-4.3301325,-4.34404,-6.006119,-4.931873,-5.7405763,-5.5852427,-5.1846905,-5.2565637,-3.7352731,-5.3054476,-4.8360367,-4.8778887,-5.2413335,-6.713983,-6.2133007,-4.8538656,-4.699901,-5.01093,-3.839105,-5.9254246,-6.0421863,-5.572884,-5.214426,-5.015956,-3.9091816,-5.086642,-5.5696,33
